City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Harda,IN,74.41,moderate rain,22.3333,77.1,OYO 67581 Samaroh Parisar
309,Auki,SB,76.84,few clouds,-8.7676,160.7034,Auki Motel
311,Lagoa,PT,73.45,few clouds,39.05,-27.9833,Casa Das Faias
313,Labuhan,ID,75.72,broken clouds,-6.8844,112.2051,DoubleFAG
316,Guerrero Negro,MX,75.74,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
323,Faya,SA,67.48,light rain,18.3851,42.4509,املاك خالد الشعشوع
325,Champasak,LA,72.16,broken clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
326,Soubre,CI,74.55,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
328,Almas,RO,76.95,few clouds,46.2833,22.2333,Cabana Ispas - Rădești
329,Nampula,MZ,62.11,clear sky,-15.1165,39.2666,Ruby Backpackers
330,Touros,BR,78.08,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
337,Ostroda,PL,61.56,broken clouds,53.6967,19.9649,Hotel Willa Port
342,Izumo,JP,72.61,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
344,Kieta,PG,77.99,clear sky,-6.2167,155.6333,Uruna Bay Retreat
345,Phan Thiet,VN,75.85,overcast clouds,10.9333,108.1,Hotel Saigon-PT
346,Kinwat,IN,74.46,moderate rain,19.6333,78.2,Iqbal Lodge
349,Datong,CN,68.45,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
350,Kulhudhuffushi,MV,81.48,overcast clouds,6.6221,73.07,Haajy Guest House 1
353,Saint-Georges,GD,81.61,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
354,Ziyang,CN,76.91,light rain,29.2497,117.8547,Wuyuan Great Wall Hotel
355,Whitehorse,CA,64.09,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
356,Kuusamo,FI,60.84,clear sky,65.9667,29.1833,Hotel Kuusanka
357,Tarbes,FR,71.71,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
360,Fortuna,US,66.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
367,Pochutla,MX,80.51,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
372,Ikom,NG,71.8,overcast clouds,5.9667,8.7063,Ebenezer Beim excellence hotel
373,Ternate,ID,79.75,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
374,Akcakoca,TR,68.4,clear sky,41.0866,31.1162,Turkuaz Beach Otel
375,Caala,AO,63.55,few clouds,-12.8525,15.5606,Adymuzik Oficial
378,Buala,SB,78.96,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
383,Bairiki,KI,81.34,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
384,Tyup,KG,66.78,clear sky,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
385,Pathanamthitta,IN,76.73,overcast clouds,9.2667,76.7833,Vijaya Residency
386,Voskresenskoye,RU,67.93,overcast clouds,56.8381,45.4317,AOM OTABIXA ВОСКРЕСЕНСКОЕ ОДМОСКОВЬЕ
388,Beyneu,KZ,82.08,scattered clouds,45.3167,55.2,NUR
