City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Powell,US,40.1578,-83.0752,84.29,72,0,10.36,clear sky
141,Kosh-Agach,RU,50.0,88.6667,46.35,71,8,2.24,clear sky
142,Saint-Francois,FR,46.4154,3.9054,71.04,64,0,4.61,clear sky
143,Port-Cartier,CA,50.0334,-66.8654,65.08,89,53,5.75,broken clouds
144,Maruim,BR,-10.7375,-37.0817,78.76,88,98,7.31,overcast clouds
145,Castro,BR,-24.7911,-50.0119,66.87,60,100,3.8,overcast clouds
146,Saskylakh,RU,71.9167,114.0833,50.86,88,73,1.9,broken clouds
147,Tasiilaq,GL,65.6145,-37.6368,41.36,75,100,2.21,overcast clouds
148,Pevek,RU,69.7008,170.3133,35.98,84,100,1.77,overcast clouds
149,Rawlins,US,41.7911,-107.2387,85.14,19,96,14.65,overcast clouds
150,Aktash,RU,50.3,87.7333,39.49,86,9,2.51,clear sky
151,Shimoda,JP,34.6667,138.95,74.1,88,100,5.77,overcast clouds
152,Yakeshi,CN,49.2833,120.7333,59.02,95,100,5.08,overcast clouds
153,Buraydah,SA,26.326,43.975,97.25,11,59,10.74,broken clouds
154,Paine,CL,-33.8167,-70.75,72.84,54,44,2.26,scattered clouds
155,Okhotsk,RU,59.3833,143.3,58.37,95,100,11.83,light rain
156,Khatanga,RU,71.9667,102.5,48.04,87,3,14.05,clear sky
157,Muroto,JP,33.2833,134.15,77.36,76,100,5.82,overcast clouds
158,Hay River,CA,60.8156,-115.7999,73.49,39,5,9.48,clear sky
159,Ornskoldsvik,SE,63.2909,18.7153,61.75,72,91,3.44,overcast clouds
160,Port Alfred,ZA,-33.5906,26.891,58.78,66,100,18.9,light rain
161,Morgan City,US,29.6994,-91.2068,88.86,58,96,9.55,overcast clouds
162,Keuruu,FI,62.2667,24.7,59.81,95,100,4.29,overcast clouds
163,Kochki,RU,54.3358,80.4806,55.29,94,31,10.65,scattered clouds
164,Sergeyevka,KZ,53.88,67.4158,55.54,78,8,5.21,clear sky
165,Dwarka,IN,22.2394,68.9678,81.82,82,100,20.8,moderate rain
166,Bunia,CD,1.5667,30.25,65.59,74,18,2.21,few clouds
167,Peniche,PT,39.3558,-9.3811,70.09,82,0,11.65,clear sky
168,Santa Vitoria,BR,-18.8386,-50.1214,84.88,24,13,3.89,few clouds
169,Gizo,SB,-8.103,156.8419,81.68,77,6,9.28,light rain
170,Esperance,AU,-33.8667,121.9,51.64,85,100,27.92,overcast clouds
171,Missoula,US,47.0166,-113.8009,79.65,25,7,4.83,clear sky
172,Fort Smith,US,35.3859,-94.3986,100.35,34,0,9.22,clear sky
173,Opunake,NZ,-39.4556,173.8583,47.12,70,100,6.69,overcast clouds
174,Lasa,IT,46.6166,10.7002,66.99,90,90,1.86,overcast clouds
175,Nabire,ID,-3.3667,135.4833,74.19,94,95,4.61,overcast clouds
